 format: day,hour,forecast,value  location:53_120 Start : 20170701 
 6,0200,+40,176.000000 
 6,0200,+43,181.000000 
 6,0200,+46,190.000000 
 6,0200,+49,185.000000 
 6,0200,+52,193.000000 
 6,0200,+55,214.000000 
 6,0200,+58,147.000000 
 6,0200,+61,203.000000 
 6,0500,+4,8.000000 
 6,0500,+7,180.000000 
 6,0500,+10,113.000000 
 6,0500,+13,120.000000 
 6,0500,+16,134.000000 
 6,0500,+19,136.000000 
 6,0500,+22,156.000000 
 6,0500,+25,169.000000 
 6,0500,+28,184.000000 
 6,0500,+31,182.000000 
 6,0500,+34,195.000000 
 6,0500,+37,176.000000 
 6,0500,+40,181.000000 
 6,0500,+43,190.000000 
 6,0500,+46,185.000000 
 6,0500,+49,193.000000 
 6,0500,+52,214.000000 
 6,0500,+55,147.000000 
 6,0500,+58,203.000000 
 6,0800,+4,180.000000 
 6,0800,+7,113.000000 
 6,0800,+10,120.000000 
 6,0800,+13,134.000000 
 6,0800,+16,136.000000 
 6,0800,+19,156.000000 
 6,0800,+22,169.000000 
 6,0800,+25,184.000000 
 6,0800,+28,182.000000 
 6,0800,+31,195.000000 
 6,0800,+34,176.000000 
 6,0800,+37,181.000000 
 6,0800,+40,190.000000 
 6,0800,+43,185.000000 
 6,0800,+46,193.000000 
 6,0800,+49,214.000000 
 6,0800,+52,147.000000 
 6,0800,+55,203.000000 
 6,1100,+4,113.000000 
 6,1100,+7,120.000000 
 6,1100,+10,134.000000 
 6,1100,+13,136.000000 
 6,1100,+16,156.000000 
 6,1100,+19,169.000000 
 6,1100,+22,184.000000 
 6,1100,+25,182.000000 
 6,1100,+28,195.000000 
 6,1100,+31,176.000000 
 6,1100,+34,181.000000 
 6,1100,+37,190.000000 
 6,1100,+40,185.000000 
 6,1100,+43,193.000000 
 6,1100,+46,214.000000 
 6,1100,+49,147.000000 
 6,1100,+52,203.000000 
 6,1400,+4,120.000000 
 6,1400,+7,134.000000 
 6,1400,+10,136.000000 
 6,1400,+13,156.000000 
 6,1400,+16,169.000000 
 6,1400,+19,184.000000 
