월별평년값,,,,,,,,,,,,,
MONTHLY NORMALS,,,,,,,,,,,,,
* 목차로 돌아가기,,,,,,,,,,,,,
일최고기온 Daily Maximum Temperature(℃),,,,,,,,,,,,,
지점번호,지점명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
571,화성,2.4 ,5.1 ,10.8 ,17.4 ,23.1 ,27.0 ,28.9 ,30.1 ,26.3 ,20.3 ,12.3 ,4.5 
572,성남,2.6 ,5.8 ,12.0 ,18.9 ,24.6 ,28.5 ,30.0 ,30.9 ,26.7 ,20.5 ,12.4 ,4.5 
590,과천,2.7 ,5.7 ,11.7 ,18.5 ,24.2 ,28.1 ,29.6 ,30.7 ,26.6 ,20.5 ,12.4 ,4.6 
595,진부령,-1.1 ,1.8 ,7.4 ,14.4 ,20.1 ,23.2 ,24.9 ,25.5 ,21.1 ,16.2 ,8.4 ,0.9 
598,양주,1.7 ,5.0 ,11.2 ,18.3 ,24.2 ,28.2 ,29.5 ,30.5 ,26.5 ,20.3 ,11.6 ,3.5 
601,단양,2.2 ,5.7 ,11.9 ,19.1 ,24.9 ,28.6 ,29.8 ,30.5 ,25.9 ,20.1 ,11.8 ,4.0 
602,진천,3.2 ,6.4 ,12.7 ,19.3 ,24.5 ,27.8 ,29.2 ,30.0 ,26.0 ,20.6 ,12.7 ,4.9 
603,괴산,2.9 ,6.1 ,12.2 ,19.0 ,24.4 ,27.7 ,29.2 ,30.0 ,25.8 ,20.2 ,12.6 ,4.8 
604,옥천,3.6 ,6.6 ,12.7 ,19.4 ,24.8 ,28.2 ,29.9 ,30.6 ,26.2 ,20.5 ,13.1 ,5.6 
608,홍북,3.1 ,6.0 ,12.0 ,18.6 ,24.0 ,27.6 ,29.3 ,30.3 ,26.2 ,20.5 ,12.7 ,5.1 
611,세종연서,3.8 ,6.9 ,13.1 ,19.6 ,24.6 ,28.0 ,29.4 ,30.1 ,26.2 ,20.8 ,13.2 ,5.6 
612,공주,3.6 ,6.7 ,12.9 ,19.4 ,25.1 ,28.5 ,30.1 ,31.0 ,26.8 ,21.0 ,13.2 ,5.5 
614,서천,4.0 ,6.3 ,11.2 ,17.2 ,22.7 ,26.5 ,29.1 ,30.4 ,26.6 ,20.9 ,13.6 ,6.3 
615,논산,4.1 ,7.1 ,12.9 ,19.4 ,24.8 ,28.2 ,30.0 ,31.0 ,27.0 ,21.4 ,13.8 ,6.1 
616,당진,2.6 ,5.2 ,10.9 ,17.5 ,23.0 ,26.8 ,28.9 ,30.0 ,25.9 ,20.1 ,12.4 ,4.9 
618,청양,3.3 ,6.1 ,11.8 ,18.4 ,23.9 ,27.5 ,29.3 ,30.2 ,26.1 ,20.5 ,12.9 ,5.3 
619,음성,2.6 ,5.9 ,12.1 ,19.3 ,24.6 ,28.1 ,29.5 ,30.3 ,26.2 ,20.5 ,12.5 ,4.5 
623,증평,2.7 ,6.0 ,12.4 ,19.4 ,25.0 ,28.5 ,30.0 ,30.9 ,26.6 ,20.6 ,12.6 ,4.6 
627,태안,3.3 ,5.4 ,10.2 ,16.5 ,22.1 ,26.4 ,28.6 ,30.2 ,26.4 ,20.5 ,13.0 ,5.7 
628,예산,2.8 ,5.7 ,11.9 ,18.7 ,24.4 ,28.3 ,30.1 ,31.1 ,26.8 ,20.9 ,12.9 ,5.0 
634,아산,2.6 ,5.2 ,11.5 ,18.3 ,24.1 ,27.8 ,29.8 ,30.8 ,26.5 ,20.5 ,12.6 ,4.8 
636,계룡,3.5 ,6.4 ,12.2 ,18.8 ,24.1 ,27.7 ,29.3 ,30.3 ,26.2 ,20.6 ,13.1 ,5.6 
642,문화,4.3 ,7.2 ,13.3 ,20.0 ,25.5 ,28.9 ,30.6 ,31.4 ,27.1 ,21.4 ,13.7 ,6.2 
